car_make_value,car_type_value,alimentation_value,carosserie_value,puissance_value,id,name,year,details
FIAT,DUCATO,DIES,FGN,7,FI28AZC,LH2 3.5T MAXI 180 BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B09,LH2 3.5T MAXI 180 PACK PREMIUM CONNECT,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B10,LH2 3.5T MAXI 180 PACK PREMIUM CONNECT BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28AZD,LH3 3.5T 140,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28AZE,LH3 3.5T 140 BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B11,LH3 3.5T 140 PACK PREMIUM CONNECT,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B12,LH3 3.5T 140 PACK PREMIUM CONNECT BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28AZF,LH3 3.5T MAXI 140,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B13,LH3 3.5T MAXI 140 PACK PREMIUM CONNECT,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28AZG,LH3 3.5T MAXI 180 BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28B14,LH3 3.5T MAXI 180 PACK PREMIUM CONNECT BA,A partir de 2023,A partir de 2023
FIAT,DUCATO,DIES,FGN,7,FI28AWY,MAXI 3.5 LH2 2.2 H3-POWER 140,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AXC,MAXI 3.5 LH2 2.2 H3-POWER 140 BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANI,MAXI 3.5 LH2 2.2 H3-POWER 140 BUSINESS,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28AU6,MAXI 3.5 LH2 2.2 H3-POWER 140 BUSINESS BA,A partir de 2022,A partir de 2022
FIAT,DUCATO,DIES,FGN,7,FI28ANK,MAXI 3.5 LH2 2.2 H3-POWER 140 EVOLUZIONE,A partir de 2022,A partir de 2022
